"location","source","expert","n_ms","mean_ms","sd_ms","n_tv","mean_tv","sd_tv","outcome","t","df","p.value","yi","vi","sitesource_label"
"byui","byui",1,38,7.2719298245614,1.02770996235031,34,6.83823529411765,1.15067341878414,"pro",1.67880583014618,66.6396505593553,0.0978735207116844,0.394540674069144,0.0568085426760592,"Brigham Young University - Idaho"
"cnj","cnj",1,58,6.89655172413793,1.14317518308744,39,6.66666666666667,1.32894013083548,"pro",0.882763839256323,73.1496060387924,0.380255749977214,0.186803786979694,0.0430622794608032,"The College of New Jersey"
"illinois","illinois",0,44,5.92424242424242,1.43752521400403,45,5.54074074074074,1.36568495577448,"pro",1.28976827732696,86.5271853317412,0.200567794328239,0.271240206685008,0.0453628165771496,"University of Illinois"
"ithaca","ithaca",0,42,5.96031746031746,1.43551994480642,39,6.24786324786325,1.54033099791762,"pro",-0.86737317284906,77.3690248794568,0.388419837827496,-0.191548773313304,0.0496770366885608,"Ithaca College"
"kansas","kansas_inhouse",0,35,5.80952380952381,1.93739551990816,40,6.20833333333333,1.72411668618407,"pro",-0.935962818137988,68.6913909967909,0.352571273069389,-0.216087745077345,0.0538827213285793,"University of Kansas"
"occid","occid",1,21,6.84126984126984,1.55498855879695,17,7.01960784313725,1.19878751381051,"pro",-0.399098149791575,35.9352845010457,0.692182828723709,-0.124013610000781,0.106644937234305,"Occidental College"
"pace","pace_expert",1,29,7.03448275862069,1.19637291654655,30,6.46666666666667,1.20216917610183,"pro",1.81819512419675,56.9498818992845,0.0742948082558983,0.467184625240951,0.069665765463019,"Pace University"
"pace","pace_inhouse",0,24,3.08333333333333,3.32498955721,34,3.57843137254902,3.50978317510142,"pro",-0.54576042111075,51.2929452210115,0.587596457545609,-0.142189191168516,0.07125272245949,"Pace University"
"plu","plu",0,30,4.7,1.24829385478449,30,4.91111111111111,1.00547670146567,"pro",-0.7213914520436,55.482712019745,0.473697811452468,-0.183841726865999,0.0669483148378089,"Pacific Lutheran University"
"riverside","riverside",1,4,6.58333333333333,0.569275042553311,6,6.38888888888889,0.712325352214427,"pro",0.477840747588479,7.5777334900662,0.646242046897826,0.26501951313928,0.420178433783896,"University of California, Riverside"
"ufl","ufl",0,60,3.52222222222222,0.641815535351636,38,3.52631578947368,0.773555338386179,"pro",-0.027222475797879,68.1697128596101,0.978361825481419,-0.00583923306368078,0.042982630102814,"University of Florida"
"upenn","upenn",0,41,5.50406504065041,1.45892264515732,45,5.57037037037037,1.42598932912519,"pro",-0.212782589367726,82.8653015934834,0.832019128227994,-0.0455769305111739,0.0466245431978869,"University of Pennsylvania"
"uwmadison","uwmadison_expert",1,32,6.375,1.05663969980175,31,6.34408602150538,1.15304386530461,"pro",0.110847900398623,60.1449819780734,0.912106034873244,0.0276282489086688,0.0635141226124604,"University of Wisconsin"
"uwmadison","uwmadison_inhouse",0,32,3.66666666666667,1.35994939817311,36,3.82407407407407,1.50234971751631,"pro",-0.453468023819692,65.9736794388097,0.651699844416835,-0.108271819730902,0.0591139747406296,"University of Wisconsin"
"vcu","vcu",1,27,6.83950617283951,1.53135427011566,12,6.94444444444444,0.983020837179948,"pro",-0.256496098818933,31.8494201210621,0.799217426962048,-0.0738942428525242,0.120440374974559,"Virginia Commonwealth University"
"wesleyan","wesleyan_inhouse",0,42,4.29365079365079,1.18756515942157,53,4.42138364779874,1.13067362002773,"pro",-0.531758741628532,86.050463320026,0.596263273671711,-0.109592176078909,0.0427406612065505,"Wesleyan University"
"wpi","wpi",0,71,4.92957746478873,1.17096553967397,70,4.66666666666667,1.26134146313933,"pro",1.28225624210462,137.920832841419,0.201903825222185,0.21492245347111,0.0285340215443013,"Worcester Polytechnic Institute"
